Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info
,,SD12084,Ar Rahad,General Protection,PRO,total,,66372,19296,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,Adult,,7873,555,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,Children,,67635,8656,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,Female,,37989,4700,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,Host Communities,,9019,520,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,IDP,,22556,8171,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,Male,,37519,4511,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,Non-hosting population,,24820,520,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,People with disability,,11327,1381,,,
,,SD12084,Ar Rahad,Child Protection,PRO-CPN,total,,56395,9211,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Adult,,43129,10018,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Children,,43130,10018,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Elderly,,1761,407,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Female,,79218,18398,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,14843,1547,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,IDP,,28291,10654,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Male,,8802,2045,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,19183,1639,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,People with disability,,13203,2045,,,
,,SD12084,Ar Rahad,Gender-Based Violence (GBV),PRO-GBV,total,,62317,13841,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Adult,,12488,7527,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Children,,18181,8387,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Elderly,,1441,979,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Female,,16689,8428,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Host Communities,,10387,3747,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,IDP,,28004,5623,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Male,,15421,8464,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,Non-hosting population,,32829,7520,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,People with disability,,,2528,,,
,,SD12084,Ar Rahad,Mine Action,PRO-MIN,total,,71220,16891,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Adult,,30367,3742,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Children,,46744,5043,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Elderly,,3519,561,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Female,,41770,4842,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Host Communities,,20460,1476,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,IDP,,21656,7393,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Male,,38860,4504,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,21344,477,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,People with disability,,12095,1402,,,
,,SD12084,Ar Rahad,Emergency Shelter and Non-Food Items,SHL,total,,63460,9346,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Adult,,70634,27385,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Children,,114542,44407,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Elderly,,5727,2220,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Female,,97361,37746,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Host Communities,,33556,17528,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,IDP,,30839,17267,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Male,,93543,36266,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,94708,39218,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,People with disability,,22908,8881,,,
,,SD12084,Ar Rahad,"Water, Sanitation and Hygiene",WSH,total,,159103,74012,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Adult,259388,141473,81424,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Children,307911,167938,96656,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Elderly,31750,17317,9966,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Female,301322,164344,94587,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Host Communities,38979,1783,30252,,,
,,SD13023,Um Rawaba,Final caseload,ALL,IDP,38209,1648,26987,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Male,297727,162383,93459,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Non-hosting population,521091,2112,129511,,,
,,SD13023,Um Rawaba,Final caseload,ALL,People with disability,89857,49009,28207,,,
,,SD13023,Um Rawaba,Final caseload,ALL,Refugees,1353,1353,1295,,,
,,SD13023,Um Rawaba,Final caseload,ALL,total,599049,326727,188046,,,
,,SD13023,Um Rawaba,Site Management,CCM,Adult,,8139,2726,,,
,,SD13023,Um Rawaba,Site Management,CCM,Children,,11380,3845,,,
,,SD13023,Um Rawaba,Site Management,CCM,Elderly,,1269,419,,,
,,SD13023,Um Rawaba,Site Management,CCM,Female,,10910,3705,,,
,,SD13023,Um Rawaba,Site Management,CCM,IDP,,17244,6990,,,
,,SD13023,Um Rawaba,Site Management,CCM,Male,,9878,3285,,,
,,SD13023,Um Rawaba,Site Management,CCM,People with disability,,3417,1049,,,
,,SD13023,Um Rawaba,Site Management,CCM,total,,17244,6990,,,
,,SD13023,Um Rawaba,Education,EDU,Children,,108984,33989,,,
,,SD13023,Um Rawaba,Education,EDU,Female,,55582,17334,,,
,,SD13023,Um Rawaba,Education,EDU,Host Communities,,7457,2918,,,
,,SD13023,Um Rawaba,Education,EDU,IDP,,6902,3224,,,
,,SD13023,Um Rawaba,Education,EDU,Male,,53402,16654,,,
,,SD13023,Um Rawaba,Education,EDU,Non-hosting population,,92474,27847,,,
,,SD13023,Um Rawaba,Education,EDU,total,,106834,33989,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Adult,,116626,131972,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Children,,132529,2778,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Elderly,,15904,4168,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Female,,132529,75988,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Host Communities,,30342,29505,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,IDP,,27195,23158,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Male,,132529,62930,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,Non-hosting population,,218989,86254,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,People with disability,,39759,3473,,,
,,SD13023,Um Rawaba,Food Security and Livelihoods,FSC,total,,276526,138918,,,
,,SD13023,Um Rawaba,Health,HEA,Adult,,83053,32180,,,
,,SD13023,Um Rawaba,Health,HEA,Children,,139655,38200,,,
,,SD13023,Um Rawaba,Health,HEA,Elderly,,10289,3939,,,
,,SD13023,Um Rawaba,Health,HEA,Female,,123634,37902,,,
,,SD13023,Um Rawaba,Health,HEA,Host Communities,,25699,15020,,,
,,SD13023,Um Rawaba,Health,HEA,IDP,,26826,15524,,,
,,SD13023,Um Rawaba,Health,HEA,Male,,109363,36416,,,
,,SD13023,Um Rawaba,Health,HEA,Non-hosting population,,149176,43775,,,
,,SD13023,Um Rawaba,Health,HEA,People with disability,,45410,11148,,,
,,SD13023,Um Rawaba,Health,HEA,total,,201701,74319,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Adult,,,7332,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Children,,,8703,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Elderly,,,897,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Female,,,8517,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Host Communities,,,2023,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,IDP,,,2788,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Male,,,8415,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,Non-hosting population,,,12121,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,People with disability,,,2540,,,
,,SD13023,Um Rawaba,Multi-Purpose Cash,MPC,total,,,16932,,,
,,SD13023,Um Rawaba,Refugee Response,MS,Adult,,622,622,,,
,,SD13023,Um Rawaba,Refugee Response,MS,Children,,596,596,,,
,,SD13023,Um Rawaba,Refugee Response,MS,Elderly,,78,78,,,
,,SD13023,Um Rawaba,Refugee Response,MS,Female,,660,660,,,
,,SD13023,Um Rawaba,Refugee Response,MS,Male,,635,635,,,
,,SD13023,Um Rawaba,Refugee Response,MS,People with disability,,194,194,,,
,,SD13023,Um Rawaba,Refugee Response,MS,total,,1295,1295,,,
,,SD13023,Um Rawaba,Nutrition,NUT,Adult,,5642,4075,,,
,,SD13023,Um Rawaba,Nutrition,NUT,Children,,31556,24212,,,
,,SD13023,Um Rawaba,Nutrition,NUT,Female,,21736,16424,,,
,,SD13023,Um Rawaba,Nutrition,NUT,Host Communities,,3449,2154,,,
,,SD13023,Um Rawaba,Nutrition,NUT,IDP,,3439,2234,,,
,,SD13023,Um Rawaba,Nutrition,NUT,Male,,15462,11864,,,
,,SD13023,Um Rawaba,Nutrition,NUT,Non-hosting population,,38921,23884,,,
,,SD13023,Um Rawaba,Nutrition,NUT,total,,45809,28272,,,
,,SD13023,Um Rawaba,General Protection,PRO,Adult,,60123,14436,,,
,,SD13023,Um Rawaba,General Protection,PRO,Children,,58180,13970,,,
,,SD13023,Um Rawaba,General Protection,PRO,Elderly,,6569,1577,,,
,,SD13023,Um Rawaba,General Protection,PRO,Female,,62825,15086,,,
,,SD13023,Um Rawaba,General Protection,PRO,Host Communities,,6366,1840,,,
,,SD13023,Um Rawaba,General Protection,PRO,IDP,,21822,7775,,,
,,SD13023,Um Rawaba,General Protection,PRO,Male,,62047,14897,,,
,,SD13023,Um Rawaba,General Protection,PRO,Non-hosting population,,82399,20368,,,
,,SD13023,Um Rawaba,General Protection,PRO,People with disability,,18731,4497,,,
,,SD13023,Um Rawaba,General Protection,PRO,total,,110587,29983,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,Adult,,12007,559,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,Children,,84553,8731,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,Female,,48581,4739,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,Host Communities,,8411,520,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,IDP,,20621,7270,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,Male,,47979,4551,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,Non-hosting population,,57325,1500,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,People with disability,,14484,1393,,,
,,SD13023,Um Rawaba,Child Protection,PRO-CPN,total,,86357,9290,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Adult,,46240,8224,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Children,,46241,8224,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Elderly,,1888,335,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Female,,84933,15105,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,13843,1443,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,IDP,,25864,9740,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Male,,9436,1678,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,44305,3786,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,People with disability,,14156,1678,,,
,,SD13023,Um Rawaba,Gender-Based Violence (GBV),PRO-GBV,total,,84011,14969,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Adult,,29380,11587,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Children,,50285,12910,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Elderly,,3889,1506,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Female,,44285,12975,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Host Communities,,9687,3495,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,IDP,,25602,5141,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Male,,39269,13029,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,Non-hosting population,,75823,17368,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,People with disability,,,3891,,,
,,SD13023,Um Rawaba,Mine Action,PRO-MIN,total,,111112,26004,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Adult,,17008,3727,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Children,,28599,4957,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Elderly,,2107,554,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Female,,25318,4902,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Host Communities,,19081,1377,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,IDP,,19798,6759,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Male,,22396,4336,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,49296,1102,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,People with disability,,7157,1386,,,
,,SD13023,Um Rawaba,Emergency Shelter and Non-Food Items,SHL,total,,88175,9238,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Adult,,116115,45403,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Children,,188294,73626,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Elderly,,9415,3681,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Female,,160050,62582,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Host Communities,,31295,16347,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,IDP,,28193,15785,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Male,,153774,60128,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,218739,90579,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,People with disability,,37659,14725,,,
,,SD13023,Um Rawaba,"Water, Sanitation and Hygiene",WSH,total,,278227,122711,,,
,,SD13024,Sheikan,Final caseload,ALL,Adult,386148,211913,124763,,,
,,SD13024,Sheikan,Final caseload,ALL,Children,458383,251555,148103,,,
,,SD13024,Sheikan,Final caseload,ALL,Elderly,47265,25939,15271,,,
,,SD13024,Sheikan,Final caseload,ALL,Female,448573,246171,144933,,,
,,SD13024,Sheikan,Final caseload,ALL,Host Communities,60794,19290,47183,,,
,,SD13024,Sheikan,Final caseload,ALL,IDP,49408,17824,34897,,,
,,SD13024,Sheikan,Final caseload,ALL,Male,443223,243235,143204,,,
,,SD13024,Sheikan,Final caseload,ALL,Non-hosting population,770208,163342,191426,,,
,,SD13024,Sheikan,Final caseload,ALL,People with disability,133769,73411,43221,,,
,,SD13024,Sheikan,Final caseload,ALL,Refugees,15285,15285,14630,,,
,,SD13024,Sheikan,Final caseload,ALL,total,891796,489406,288137,,,
,,SD13024,Sheikan,Site Management,CCM,Adult,,8919,3525,,,
,,SD13024,Sheikan,Site Management,CCM,Children,,12471,4971,,,
,,SD13024,Sheikan,Site Management,CCM,Elderly,,1390,542,,,
,,SD13024,Sheikan,Site Management,CCM,Female,,11956,4791,,,
,,SD13024,Sheikan,Site Management,CCM,IDP,,22298,9039,,,
,,SD13024,Sheikan,Site Management,CCM,Male,,10825,4248,,,
,,SD13024,Sheikan,Site Management,CCM,People with disability,,298,1356,,,
,,SD13024,Sheikan,Site Management,CCM,total,,22298,9039,,,
,,SD13024,Sheikan,Education,EDU,Children,,159193,49879,,,
,,SD13024,Sheikan,Education,EDU,Female,,81188,25438,,,
,,SD13024,Sheikan,Education,EDU,Host Communities,,11630,4550,,,
,,SD13024,Sheikan,Education,EDU,IDP,,8926,4169,,,
,,SD13024,Sheikan,Education,EDU,Male,,78005,24441,,,
,,SD13024,Sheikan,Education,EDU,Non-hosting population,,136683,41160,,,
,,SD13024,Sheikan,Education,EDU,total,,157239,49879,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Adult,,198134,193281,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Children,,225152,4069,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Elderly,,27018,6104,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Female,,225152,111289,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Host Communities,,47323,46018,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,IDP,,35165,29946,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Male,,225152,92165,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,Non-hosting population,,323681,127490,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,People with disability,,67546,5086,,,
,,SD13024,Sheikan,Food Security and Livelihoods,FSC,total,,406170,203454,,,
,,SD13024,Sheikan,Health,HEA,Adult,,123789,46851,,,
,,SD13024,Sheikan,Health,HEA,Children,,192797,55616,,,
,,SD13024,Sheikan,Health,HEA,Elderly,,15353,5735,,,
,,SD13024,Sheikan,Health,HEA,Female,,170948,55183,,,
,,SD13024,Sheikan,Health,HEA,Host Communities,,40082,23426,,,
,,SD13024,Sheikan,Health,HEA,IDP,,34688,20074,,,
,,SD13024,Sheikan,Health,HEA,Male,,160991,53019,,,
,,SD13024,Sheikan,Health,HEA,Non-hosting population,,220492,64702,,,
,,SD13024,Sheikan,Health,HEA,People with disability,,92863,16230,,,
,,SD13024,Sheikan,Health,HEA,total,,295263,108202,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Adult,,,10685,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Children,,,12683,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Elderly,,,1308,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Female,,,12412,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Host Communities,,,3155,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,IDP,,,3606,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Male,,,12264,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,Non-hosting population,,,17915,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,People with disability,,,3701,,,
,,SD13024,Sheikan,Multi-Purpose Cash,MPC,total,,,24676,,,
,,SD13024,Sheikan,Refugee Response,MS,Adult,,7023,7023,,,
,,SD13024,Sheikan,Refugee Response,MS,Children,,6730,6730,,,
,,SD13024,Sheikan,Refugee Response,MS,Elderly,,878,878,,,
,,SD13024,Sheikan,Refugee Response,MS,Female,,7462,7462,,,
,,SD13024,Sheikan,Refugee Response,MS,Male,,7169,7169,,,
,,SD13024,Sheikan,Refugee Response,MS,People with disability,,2195,2195,,,
,,SD13024,Sheikan,Refugee Response,MS,total,,14630,14630,,,
,,SD13024,Sheikan,Nutrition,NUT,Adult,,8540,5993,,,
,,SD13024,Sheikan,Nutrition,NUT,Children,,44187,35581,,,
,,SD13024,Sheikan,Nutrition,NUT,Female,,31075,24139,,,
,,SD13024,Sheikan,Nutrition,NUT,Host Communities,,5380,3359,,,
,,SD13024,Sheikan,Nutrition,NUT,IDP,,4446,2888,,,
,,SD13024,Sheikan,Nutrition,NUT,Male,,21652,17435,,,
,,SD13024,Sheikan,Nutrition,NUT,Non-hosting population,,57527,35303,,,
,,SD13024,Sheikan,Nutrition,NUT,total,,67354,41550,,,
,,SD13024,Sheikan,General Protection,PRO,Adult,,84501,20717,,,
,,SD13024,Sheikan,General Protection,PRO,Children,,81770,20047,,,
,,SD13024,Sheikan,General Protection,PRO,Elderly,,9231,2264,,,
,,SD13024,Sheikan,General Protection,PRO,Female,,88298,21647,,,
,,SD13024,Sheikan,General Protection,PRO,Host Communities,,9929,2869,,,
,,SD13024,Sheikan,General Protection,PRO,IDP,,28218,10054,,,
,,SD13024,Sheikan,General Protection,PRO,Male,,87204,21381,,,
,,SD13024,Sheikan,General Protection,PRO,Non-hosting population,,121791,30105,,,
,,SD13024,Sheikan,General Protection,PRO,People with disability,,26325,6454,,,
,,SD13024,Sheikan,General Protection,PRO,total,,159938,43028,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,Adult,,17231,914,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,Children,,116364,14306,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,Female,,67214,7763,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,Host Communities,,13119,1200,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,IDP,,26664,12020,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,Male,,66381,7457,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,Non-hosting population,,84730,2000,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,People with disability,,20040,2283,,,
,,SD13024,Sheikan,Child Protection,PRO-CPN,total,,124513,15220,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Adult,,62307,10149,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Children,,62308,10149,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Elderly,,2544,414,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Female,,114444,18641,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,21590,2250,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,IDP,,33444,12595,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Male,,12715,2071,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,65485,5596,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,People with disability,,19074,2071,,,
,,SD13024,Sheikan,Gender-Based Violence (GBV),PRO-GBV,total,,120520,20441,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Adult,,92595,16830,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Children,,142816,18753,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Elderly,,11237,2188,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Female,,127072,18846,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Host Communities,,15108,5451,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,IDP,,33105,6648,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Male,,119576,18925,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,Non-hosting population,,112072,25672,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,People with disability,,,5653,,,
,,SD13024,Sheikan,Mine Action,PRO-MIN,total,,160285,37771,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Adult,,46598,5071,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Children,,72574,6696,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Elderly,,5779,750,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Female,,64350,6446,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Host Communities,,29760,2148,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,IDP,,25601,8740,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Male,,60602,6071,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,72863,1629,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,People with disability,,18743,1877,,,
,,SD13024,Sheikan,Emergency Shelter and Non-Food Items,SHL,total,,128224,12517,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Adult,,105489,66522,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Children,,171064,107873,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Elderly,,8553,5394,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Female,,145404,91692,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Host Communities,,48810,25495,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,IDP,,36456,20412,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Male,,139702,88096,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,323311,133881,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,People with disability,,34213,21574,,,
,,SD13024,Sheikan,"Water, Sanitation and Hygiene",WSH,total,,408577,179788,,,
,,SD13025,Soudari,Final caseload,ALL,Adult,184694,92760,47597,,,
,,SD13025,Soudari,Final caseload,ALL,Children,219245,110112,56500,,,
,,SD13025,Soudari,Final caseload,ALL,Elderly,22607,11354,5826,,,
,,SD13025,Soudari,Final caseload,ALL,Female,214553,107756,55291,,,
,,SD13025,Soudari,Final caseload,ALL,Host Communities,3968,6210,3080,,,
,,SD13025,Soudari,Final caseload,ALL,IDP,3968,3232,2803,,,
,,SD13025,Soudari,Final caseload,ALL,Male,211993,106470,54632,,,
,,SD13025,Soudari,Final caseload,ALL,Non-hosting population,418610,28639,104041,,,
,,SD13025,Soudari,Final caseload,ALL,People with disability,63982,32134,16488,,,
,,SD13025,Soudari,Final caseload,ALL,total,426546,214226,109923,,,
,,SD13025,Soudari,Site Management,CCM,Adult,,777,,,,
,,SD13025,Soudari,Site Management,CCM,Children,,1086,,,,
,,SD13025,Soudari,Site Management,CCM,Elderly,,121,,,,
,,SD13025,Soudari,Site Management,CCM,Female,,1041,,,,
,,SD13025,Soudari,Site Management,CCM,Male,,943,,,,
,,SD13025,Soudari,Site Management,CCM,People with disability,,2469,,,,
,,SD13025,Soudari,Education,EDU,Children,,76778,23002,,,
,,SD13025,Soudari,Education,EDU,Female,,39157,11731,,,
,,SD13025,Soudari,Education,EDU,Host Communities,,759,297,,,
,,SD13025,Soudari,Education,EDU,IDP,,717,335,,,
,,SD13025,Soudari,Education,EDU,Male,,37621,11271,,,
